Customer Name,Product Category,Region,Sales
Alison Jacobson,Technology,Central,797.62
Alison Jones,Furniture,South,185.52
Alison Jones,Office Supplies,South,13.42
Alison Jones,Technology,South,3294.56
Alison Peters Wooten,Furniture,East,1494.63
Alison Peters Wooten,Office Supplies,East,152.54
Alison Sharp,Office Supplies,East,2353.55
Alison Starr,Furniture,South,146.86
Alison Starr,Office Supplies,South,286
Alison Starr,Technology,South,34.47
Alison Stewart,Office Supplies,Central,1117.02
Alison Stewart,Technology,Central,483.75
Allan Dickinson,Furniture,South,43.2
Allan Dickinson,Office Supplies,South,413.99
Allan Green,Furniture,Central,895.53
Allan Green,Office Supplies,Central,712.92
Allan Green,Technology,Central,215.42
Allan Shields,Furniture,South,240.63
Allan Shields,Office Supplies,South,668.36
Allan Shields,Technology,South,75.09
Allen Garrett,Office Supplies,West,63.89
Allen Nash,Furniture,South,830.1
Allen Nash,Office Supplies,South,1238.78
Allen Nash,Technology,South,413.09
Allison Cooke,Furniture,West,727.19
Allison Gunter,Furniture,East,1754.94
Allison Kirby,Furniture,Central,4397.73
Allison Kirby,Office Supplies,Central,7608.35
Allison Kirby,Technology,Central,19567.99
Allison Peacock,Furniture,East,200.57
Allison Peacock,Office Supplies,East,200.01
Alvin B Winstead,Furniture,Central,2254.48
Alvin B Winstead,Office Supplies,Central,343.66
Alvin Frost,Office Supplies,East,80.62
Alvin Hoover,Furniture,East,438.33
Alvin Hoover,Office Supplies,East,315.93
Alvin Mullins,Office Supplies,West,56.4
Amanda Conner,Office Supplies,Central,2701.48
Amanda Gould,Technology,East,394.1
Amanda Hardy Singleton,Office Supplies,East,120.07
Amanda Helms,Furniture,Central,105.05
Amanda Helms,Office Supplies,Central,349.34
Amanda Huang,Office Supplies,Central,73.33
Amanda Kay,Furniture,West,277.9
Amanda Kay,Office Supplies,West,2097.06
Amanda Kay,Technology,West,53418.44
Amanda Shore,Furniture,West,1287.55
Amanda Wright,Office Supplies,Central,2272.66
Amanda Wright,Technology,Central,634.9
Amy Boyd,Office Supplies,South,78.85
Amy Boyd,Technology,South,561.51
Amy Ellis Holder,Furniture,West,2809.87
Amy Ellis Holder,Office Supplies,West,79.93
Amy Ellis Holder,Technology,West,2560.45
Amy Hale,Office Supplies,East,23.08
Amy Hall,Office Supplies,East,33.17
Amy Hall,Technology,East,925.98
Amy Hamrick Melvin,Office Supplies,East,6657.7
Amy Hamrick Melvin,Technology,East,367
Amy Jiang,Office Supplies,Central,9.34
Amy Shea,Office Supplies,Central,3045.09
Amy Shea,Technology,Central,449.71
Amy Thomson,Office Supplies,East,291.82
Amy York,Office Supplies,West,19.13
Amy York,Technology,West,981.85
Andrea Barr,Office Supplies,South,48.02
Andrea Oakley,Office Supplies,Central,139.59
Andrea Oakley,Technology,Central,53.55
Andrea Shaw,Office Supplies,Central,26141.56
Andrea Shaw,Technology,Central,143.12
Andrew Beard,Furniture,East,918.05
Andrew Beard,Office Supplies,East,161.3
Andrew Connor,Office Supplies,South,2976.91
Andrew Connor,Technology,South,2553.25
Andrew Gonzalez,Furniture,South,9482.4
Andrew Gonzalez,Office Supplies,South,18668.77
Andrew Gonzalez,Technology,South,5757.01
Andrew Levin,Office Supplies,East,10.48
Andrew Levine,Furniture,East,3568.06
Andrew Levine,Office Supplies,East,26253.22
Andrew Levine,Technology,East,13934.91
Andrew Pearce,Furniture,Central,251.06
Andrew Pearce,Office Supplies,Central,24.33
Andrew Todd,Office Supplies,West,73.41
Andrew Todd,Technology,West,1588.3
Andrew Warren,Office Supplies,West,200.64
Angela Alston,Office Supplies,West,176.86
Angela Alston,Technology,West,1792.62
Angela Bernstein,Furniture,West,487.27
Angela Bernstein,Office Supplies,West,151.22
Angela Howe,Office Supplies,Central,589.98
Angela Howe,Technology,Central,983.65
Angela Larson,Furniture,East,856.93
Angela Larson,Office Supplies,East,493.96
Angela Larson,Technology,East,917.5
Angela Rose,Furniture,South,94.47
Angela Rose,Office Supplies,South,185.58
Angela Wooten,Office Supplies,East,3.99
Anita Atkinson Davenport,Office Supplies,East,10.27
Anita Boyle,Office Supplies,West,4224.01
Anita Boyle,Technology,West,1200.38
Anita Hahn,Office Supplies,East,378.41
Anita Kang,Furniture,Central,6287.92
Anita Kang,Office Supplies,Central,2391.56
Anita Kang,Technology,Central,11039.74
Anita Kent,Office Supplies,East,11.35
Ann Allen,Furniture,East,215.02
Ann Allen,Office Supplies,East,1120.39
Ann Allen,Technology,East,952.03
Ann Katz,Office Supplies,West,29.92
Ann Katz,Technology,West,4911.57
Ann Pearson,Furniture,Central,811.33
Ann Pearson,Office Supplies,Central,885.73
Ann Pearson,Technology,Central,402.42
Ann Steele,Furniture,West,334.4
Ann Steele,Office Supplies,West,161.13
Ann Steele,Technology,West,3945.92
Anna Burgess,Furniture,West,65.69
Anna Burgess,Technology,West,998.67
Anna Carpenter,Office Supplies,West,6.49
Anna Carpenter,Technology,West,1211.22
Anna Ellis,Furniture,Central,9075.84
Anna Ellis,Office Supplies,Central,370.62
Anna Ellis,Technology,Central,201.17
Anna Glenn,Office Supplies,West,170.46
Anna Glenn,Technology,West,2276.16
Anna Miles,Office Supplies,East,23.7
Anna Wood,Furniture,East,497.42
Anna Wood,Office Supplies,East,666.52
Anna Wood,Technology,East,2582.96
Anne Armstrong,Office Supplies,East,492.9
Anne Barnett,Furniture,West,491
Anne Barnett,Office Supplies,West,596.57
Anne Bland,Furniture,Central,8.72
Anne Bland,Office Supplies,Central,507.65
Anne Coates,Office Supplies,West,155.59
Anne Coates,Technology,West,551.32
Anne Heller,Furniture,Central,108.64
Anne Heller,Technology,Central,36.5
Anne Kelley,Furniture,East,472.7
Anne Kelley,Office Supplies,East,635.06
Anne Kelley,Technology,East,1622.26
Anne Nguyen,Furniture,South,368.39
Anne Nguyen,Technology,South,94.62
Anne Schultz,Furniture,South,118.99
Anne Schultz,Office Supplies,South,5478.02
Anne Schultz,Technology,South,146.17
Annette Boone,Furniture,East,1400.53
Annette Cline,Office Supplies,Central,144.28
Annette Cline,Technology,Central,946.42
Annette Ferrell,Office Supplies,East,57.87
Annette McIntyre,Furniture,South,834.22
Annette McIntyre,Office Supplies,South,885.04
Annette McIntyre,Technology,South,952.26
Annette Sharpe,Furniture,East,3053.38
Annie Booth,Furniture,Central,4331.7
Annie Booth,Office Supplies,Central,8199.67
Annie Horne,Office Supplies,South,1919.28
Annie Horne,Technology,South,72.58
Annie Humphrey,Office Supplies,East,184.77
Annie Livingston,Furniture,East,2145.85
Annie Livingston,Office Supplies,East,4535.13
Annie Livingston,Technology,East,824
Annie McLaughlin,Office Supplies,Central,1382.73
Annie McLaughlin,Technology,Central,1672.9
Annie Odom,Furniture,East,297.67
Annie Odom,Office Supplies,East,801.9
Annie Odom,Technology,East,12750.99
Annie Sherrill,Office Supplies,Central,14.07
Annie Sherrill,Technology,Central,1042.54
Anthony Foley,Furniture,Central,236.71
Anthony Foley,Office Supplies,Central,151.84
Anthony Foley,Technology,Central,917.26
Anthony Goodwin,Furniture,East,9661.51
Anthony Goodwin,Office Supplies,East,13952.86
Anthony Goodwin,Technology,East,4807.17
Anthony Greer,Furniture,South,762.97
Anthony Greer,Office Supplies,South,187.24
Anthony Greer,Technology,South,7207.84
Anthony Han,Furniture,South,205.14
Anthony Han,Office Supplies,South,58.14
Anthony Han,Technology,South,1451.55
Anthony Stanley,Office Supplies,East,68.45
Anthony Vogel,Technology,East,53.24
April Bond,Furniture,East,31.97
April Bowers,Furniture,Central,3666.27
April Bowers,Office Supplies,Central,179.73
April Bowers,Technology,Central,2337.02
April Flynn,Technology,East,1590.44
April Henson,Furniture,East,3902.09
April Henson,Office Supplies,East,14.18
April Hu,Office Supplies,West,1460.93
April Hu,Technology,West,1512.83
April Whitehead,Office Supplies,East,21.9
April Winters,Office Supplies,East,526.36
Arlene Barry Kane,Office Supplies,East,604.17
Arlene Barry Kane,Technology,East,25.08
Arlene Gibbons,Furniture,Central,1170.62
Arlene Gibbons,Office Supplies,Central,685.1
Arlene Grimes,Furniture,South,3868.4
Arlene Grimes,Office Supplies,South,68.89
Arlene Long,Furniture,West,12659.67
Arlene Long,Office Supplies,West,12499.77
Arlene Lutz,Furniture,Central,56.61
Arlene Lutz,Office Supplies,Central,921.9
Arlene Lutz,Technology,Central,668.6
Arlene Poe,Office Supplies,West,619.17
Arlene Poe,Technology,West,581.2
Arlene Rouse,Office Supplies,West,2242.49
Arlene Weber,Office Supplies,East,645.38
Arlene Weber,Technology,East,412.6
Arlene Weeks,Furniture,East,110.75
Arlene Wiggins Dalton,Furniture,Central,1857.08
Arlene Wiggins Dalton,Office Supplies,Central,42.56
Arnold Floyd Blair,Furniture,South,1161.65
Arnold Floyd Blair,Office Supplies,South,374.6
Arnold Gay,Furniture,West,2631.15
Arnold Johnson,Office Supplies,East,120.81
Arthur Brady,Technology,East,64.89
Arthur Fleming,Office Supplies,Central,246.65
Arthur G Griffith,Office Supplies,East,147.61
Arthur Glass,Office Supplies,Central,151.82
Arthur Glass,Technology,Central,4361.08
Arthur Gold,Furniture,South,12.9
Arthur Gold,Office Supplies,South,201.28
Arthur Gold,Technology,South,255.88
Arthur Lowe Nash,Technology,East,89.76
Arthur Yu,Office Supplies,East,165.99
Ashley C Bridges,Furniture,South,480.26
Ashley C Bridges,Office Supplies,South,483.47
Ashley Neal,Office Supplies,Central,393.33
Ashley Neal,Technology,Central,4829.8
Ashley Reese,Furniture,Central,7626.69
Ashley Reese,Office Supplies,Central,2936.83
Ashley Reese,Technology,Central,133.32
Audrey Harmon,Office Supplies,East,403.35
Audrey Hendricks,Furniture,East,344.03
Audrey Hendricks,Office Supplies,East,783.02
Barbara McNamara,Furniture,West,1714.93
Barbara McNamara,Office Supplies,West,1426.39
Barbara McNamara,Technology,West,453.64
Barbara Saunders,Furniture,East,22.74
Barbara Saunders,Office Supplies,East,773.71
Barbara Whitfield,Furniture,South,563.93
Barbara Whitfield,Office Supplies,South,2219.64
Becky Farmer,Furniture,Central,9.51
Becky Farmer,Office Supplies,Central,142.23
Becky Farmer,Technology,Central,441.74
Becky O'Brien,Office Supplies,West,1408.64
Becky O'Brien,Technology,West,704.29
Becky Page Cline,Office Supplies,South,185.73
Becky Page Cline,Technology,South,1255.68
Becky Puckett,Office Supplies,West,52.09
Ben P Bowen,Furniture,East,68.49
Ben P Bowen,Office Supplies,East,321.15
Ben P Bowen,Technology,East,145.66
Ben Reid Bland,Office Supplies,Central,236.58
Ben Reid Bland,Technology,Central,151.23
Benjamin Bates,Furniture,East,34.18
Benjamin Bates,Office Supplies,East,480.9
Benjamin Bates,Technology,East,1135.5
Benjamin Chan,Furniture,West,3171.88
Benjamin Chan,Office Supplies,West,511.15
Benjamin Creech,Furniture,East,1978.22
Benjamin Gunter,Furniture,South,2273.1
Benjamin Gunter,Office Supplies,South,926.97
Benjamin Gunter,Technology,South,989.22
Benjamin Harrell,Furniture,East,206.59
Benjamin Harrell,Office Supplies,East,183.61
Benjamin Harrell,Technology,East,84.76
Benjamin Harvey,Furniture,South,436.51
Benjamin Harvey,Office Supplies,South,319.19
Benjamin Humphrey,Furniture,Central,1166.65
Benjamin Humphrey,Office Supplies,Central,449
Benjamin Kaufman,Technology,East,43.08
Benjamin Lam,Furniture,South,7603.98
Benjamin Lam,Office Supplies,South,776.19
Benjamin Lam,Technology,South,2149.08
Benjamin McGee,Office Supplies,West,198.97
Benjamin McGee,Technology,West,2323.14
Benjamin Norman Rodgers,Office Supplies,Central,105.18
Benjamin Norman Rodgers,Technology,Central,90.17
Benjamin Porter,Furniture,Central,2125.12
Benjamin Strauss,Office Supplies,Central,565.5
Benjamin Strauss,Technology,Central,57.99
Bernard Block Petersen,Office Supplies,East,1500
Bernard Boyette,Furniture,Central,710.45
Bernard Herman,Office Supplies,East,168.3
Bernard Strauss,Furniture,Central,379.64
Bernard Strauss,Office Supplies,Central,57.56
Bernard Strauss,Technology,Central,635.01
Bernard Thompson,Furniture,South,1050.99
Bernard Thompson,Office Supplies,South,313.06
Bernard Thompson,Technology,South,1053.42
Bernice F Day,Office Supplies,Central,711.11
Bernice F Day,Technology,Central,133.45
Bernice Stanley,Technology,Central,6843.16
Beth Brennan,Office Supplies,East,5.81
Beth Dolan,Furniture,South,2722.92
Beth Dolan,Office Supplies,South,92.02
Beth English,Office Supplies,East,1125.76
Beth McKenzie,Office Supplies,Central,84.29
Betsy Barr,Office Supplies,East,517.82
Betsy Bean,Technology,East,61.1
Betsy Gibson,Furniture,Central,1986.68
Betsy Gibson,Office Supplies,Central,1048.74
Betsy Hendricks,Furniture,West,122.48
Betsy Hendricks,Office Supplies,West,63.08
Betsy Owens,Office Supplies,South,78.66
Betsy Puckett,Furniture,Central,3185.25
Betsy Puckett,Office Supplies,Central,405.25
Betsy Puckett,Technology,Central,3599.2
Betsy Ross Robbins,Technology,East,3416.68
Betsy Wilder,Office Supplies,Central,1039.54
Betty Barbour,Furniture,Central,5603.86
Betty Barbour,Technology,Central,76.32
Betty Buckley,Furniture,West,1183.02
Betty Buckley,Technology,West,669.14
Betty Cross,Furniture,East,395.27
Betty Cross,Office Supplies,East,170.21
Betty Giles,Office Supplies,Central,16.31
Betty Giles,Technology,Central,1294.54
Betty Melvin,Technology,South,47.53
Betty Schroeder,Furniture,Central,247.35
Betty Schroeder,Technology,Central,357.39
Beverly Baker,Office Supplies,East,3738.54
Beverly Baker,Technology,East,127.16
Beverly Barnett,Office Supplies,East,68.37
Beverly Cameron,Furniture,South,1735.83
Beverly Cameron,Office Supplies,South,1603.99
Beverly Cameron,Technology,South,1062.64
Beverly Cooke Brooks,Technology,East,100.38
Beverly Keith,Office Supplies,East,124.94
Beverly Leonard,Furniture,East,63.59
Beverly Roberts,Furniture,South,422.08
Beverly Roberts,Office Supplies,South,1086.93
Beverly Roberts,Technology,South,7364.21
Bill Bowers Li,Furniture,Central,1068.45
Bill Bowers Li,Office Supplies,Central,5498.21
Bill Bowers Li,Technology,Central,134.56
Bill Hoyle,Technology,East,311.69
Bill Hudson,Office Supplies,South,869.24
Bill O'Neill,Furniture,East,240.64
Bill Terrell,Office Supplies,West,367.64
Bill Terrell,Technology,West,3438.91
Billie Chan,Furniture,East,142.24
Billie Fowler,Furniture,Central,3818.29
Billie Fowler,Technology,Central,739.62
Billie Glass,Furniture,East,2516.95
Billie Glass,Office Supplies,East,234.68
Billie Glass,Technology,East,1098.45
Billie Hensley,Furniture,Central,214.8
Billie Hensley,Office Supplies,Central,386.51
Billie Stern,Office Supplies,East,765.04
Billy Bowden,Technology,South,5647.74
Billy Bullock,Office Supplies,South,338.04
Billy Bullock,Technology,South,633.81
Billy Hale,Furniture,East,498.31
Billy Odom,Office Supplies,West,250.35
Billy Odom,Technology,West,660.68
Billy Perry Browning,Furniture,East,8752.29
Billy Perry Browning,Office Supplies,East,3878.76
Billy Perry Browning,Technology,East,2130.56
Bob Berg,Furniture,South,533.8
Bob Berg,Office Supplies,South,404.65
Bob Dickens,Furniture,East,1111.01
Bob Dickens,Office Supplies,East,11312.61
Bob Dickens,Technology,East,818.85
Bob Epstein,Furniture,Central,804.67
Bob Epstein,Office Supplies,Central,387.5
Bob Epstein,Technology,Central,1328.52
Bob Gibson,Furniture,Central,356.14
Bob Gibson,Office Supplies,Central,27.08
Bob Harrington,Office Supplies,South,663.49
Bob Jiang,Furniture,West,36.45
Bob Jiang,Office Supplies,West,81.5
Bob Randall,Furniture,East,212.94
Bobby Clements,Furniture,East,111.88
Bobby Clements,Office Supplies,East,115.7
Bobby Clements,Technology,East,631.51
Bobby Dorsey,Furniture,East,5653.46
Bobby Dorsey,Office Supplies,East,48.5
Bobby Dorsey,Technology,East,7582.15
Bobby Harmon,Office Supplies,East,49.09
Bobby Powell,Furniture,Central,180
Bobby Powell,Office Supplies,Central,691.99
Bobby Powell,Technology,Central,1815.96
Bobby Rankin,Office Supplies,East,1669.05
Bobby Walker,Technology,East,65.47
Bonnie Carver Huang,Office Supplies,East,77.61
Bonnie Chambers,Office Supplies,West,104.84
Bonnie Chambers,Technology,West,84.76
Bonnie G Keith,Office Supplies,South,566.72
Bonnie Hampton,Furniture,East,1063.39
Bonnie Hampton,Office Supplies,East,133.13
Bonnie Hampton,Technology,East,190.19
Bonnie Matthews Rowland,Furniture,South,35635.12
Bonnie Matthews Rowland,Office Supplies,South,4472.79
Bonnie Potter,Office Supplies,West,2116.24
Bonnie Potter,Technology,West,2898.04
Brad H Blake,Furniture,South,12193.94
Brad H Blake,Office Supplies,South,3706.82
Brad H Blake,Technology,South,3175.15
Brad Pearce,Furniture,South,249.25
Brad Pearce,Office Supplies,South,356.27
Brad Pearce,Technology,South,2370.52
Brad Stark,Office Supplies,South,5181.22
Brad Stark,Technology,South,222.82
Brad Teague,Technology,East,113.87
Bradley Brantley,Office Supplies,Central,132.43
Bradley Brantley,Technology,Central,178.87
Bradley Pollock,Technology,East,243.32
Bradley Schroeder,Office Supplies,South,9357.17
Bradley Schroeder,Technology,South,3599.28
Brandon Beach,Furniture,Central,5097.88
Brandon Beach,Office Supplies,Central,1521.33
Brandon Boyer,Office Supplies,East,559.84
Brandon C Yates,Office Supplies,East,830.43
Brandon E Shepherd,Office Supplies,Central,1080.99
Brandon E Shepherd,Technology,Central,5.93
Brandon Gilliam,Technology,West,1132.94
Brandon Moser,Furniture,South,86.83
Brenda Cobb,Furniture,Central,2184.18
Brenda Cobb,Office Supplies,Central,123.43
Brenda Cobb,Technology,Central,1183.89
Brenda Cowan,Office Supplies,West,132.09
Brenda Cowan,Technology,West,771.45
Brenda Gonzalez,Furniture,East,1576.52
Brenda Gonzalez,Technology,East,57.96
Brenda Jain,Furniture,East,12282.92
Brenda Jain,Office Supplies,East,123
Brenda Jain,Technology,East,1553.7
Brenda Klein,Furniture,East,3071.57
Brenda May,Furniture,Central,1969.4
Brenda May,Office Supplies,Central,204.3
Brenda May,Technology,Central,28.46
Brenda Nelson Blanchard,Furniture,Central,128.95
Brenda Nelson Blanchard,Office Supplies,Central,314.41
Brenda Nelson Blanchard,Technology,Central,1543.55
Brenda Ross,Furniture,West,3145.43
Brenda Ross,Office Supplies,West,379.68
Brenda Ross,Technology,West,46.34
Brent Bond,Office Supplies,Central,227.68
Brent Coates,Office Supplies,South,250.21
Brent Coates,Technology,South,22089.74
Brent Graves,Furniture,Central,1724.29
Brent Graves,Office Supplies,Central,32.68
Brent Walters,Office Supplies,Central,1241.52
Brent Walters,Technology,Central,519.3
Brett Boykin,Furniture,West,280.18
Brett Boykin,Office Supplies,West,173.53
Brett Boykin,Technology,West,91.1
Brett Douglas,Office Supplies,East,18.37
Brett Hawkins,Furniture,West,1332.82
Brett Hawkins,Office Supplies,West,22.23
Brett Hawkins,Technology,West,2531.27
Brett Ingram,Office Supplies,Central,78.08
Brett Schultz,Office Supplies,West,325.51
Brett Sparks,Technology,West,2048.57
Brian Bennett,Technology,East,9270.87
Brian Dougherty,Furniture,Central,239.97
Brian Grady,Furniture,East,15903.22
Brian Grady,Office Supplies,East,213.45
Brian Grady,Technology,East,2247.04
Brian Leach,Office Supplies,Central,624.43
Brian Leach,Technology,Central,489.1
Brian Meadows,Office Supplies,West,424.44
Brian Norman,Office Supplies,West,1005.23
Brian Norman,Technology,West,425.32
Brooke Arnold,Office Supplies,West,104.77
Brooke Lancaster,Furniture,Central,2376.12
Brooke Leach,Office Supplies,South,175.02
Brooke M Wood,Office Supplies,East,118.72
Brooke M Wood,Technology,East,100.96
Brooke Payne,Office Supplies,East,106.28
Brooke Shepherd,Furniture,West,48.72
Brooke Shepherd,Office Supplies,West,15.69
Brooke Shepherd,Technology,West,2448.11
Brooke Weeks Taylor,Office Supplies,East,312.59
Bruce Adcock,Office Supplies,West,622.74
Bruce H Burgess,Office Supplies,Central,154.07
Bruce Morton,Office Supplies,Central,456.95
Bruce Murray,Office Supplies,South,588.81
Bruce Norton,Furniture,Central,680.71
Bruce Norton,Office Supplies,Central,308.39
Bruce Norton,Technology,Central,189.39
Bruce Stark,Furniture,East,5873.18
Bruce Stark,Office Supplies,East,603.07
Bruce Stark,Technology,East,483.8
Bryan Pate,Technology,East,12.98
Bryan Weinstein,Furniture,South,140.79
Bryan Weinstein,Office Supplies,South,105.24
Calvin Boyette,Furniture,West,1372.94
Calvin Boyette,Office Supplies,West,317.79
Calvin Boyette,Technology,West,1862.57
Calvin Conway,Furniture,East,1719.07
Calvin Ferrell,Office Supplies,South,50.75
Calvin Harrison,Furniture,East,2230.31
Calvin Hutchinson,Furniture,East,22.74
Calvin J Marcus,Furniture,South,2642.92
Calvin J Marcus,Office Supplies,South,109.39
Calvin J Marcus,Technology,South,5822.62
Calvin Parsons Walter,Office Supplies,Central,572.6
Calvin Parsons Walter,Technology,Central,1475.99
Calvin Strickland,Technology,West,529.78
Cameron Braswell,Office Supplies,Central,236.86
Cameron Braswell,Technology,Central,1741.81
Cameron Clapp,Furniture,South,2800.81
Cameron Clapp,Technology,South,509.9
Cameron Gentry Herndon,Furniture,West,881.15
Cameron Gentry Herndon,Office Supplies,West,458.42
Cameron Kendall,Furniture,East,571.92
Cameron Kendall,Office Supplies,East,1173.1
Cameron Kendall,Technology,East,3330.82
Cameron Livingston,Office Supplies,East,613.34
Cameron Owens,Furniture,South,554.08
Cameron Owens,Office Supplies,South,708.51
Cameron Page,Office Supplies,East,4.44
Carl Branch,Technology,East,589.88
Carl Hobbs,Furniture,South,24.15
Carl Hobbs,Office Supplies,South,193.63
Carl Solomon,Furniture,South,1068.22
Carl Solomon,Office Supplies,South,537.56
Carla Braun,Office Supplies,South,957.94
Carla Hauser,Furniture,South,638.84
Carla Hauser,Office Supplies,South,85.26
Carla Riley,Office Supplies,West,18.83
Carla Riley,Technology,West,11.06
Carla S Austin,Office Supplies,East,268.16
Carla Wilson,Furniture,Central,71.26
Carla Wilson,Office Supplies,Central,79.05
Carla Wilson,Technology,Central,14380.76
Carlos Adkins,Furniture,South,5820.67
Carlos Adkins,Office Supplies,South,151.47
Carlos Berman,Technology,Central,594.18
Carlos Bynum,Office Supplies,East,20.83
Carlos Byrd,Furniture,East,614.99
Carlos Hanson,Furniture,Central,1616.45
Carlos Hanson,Office Supplies,Central,123.87
Carlos Hanson,Technology,Central,10238.95
Carlos Hess,Furniture,East,863.96
Carlos Hess,Office Supplies,East,3712.65
Carlos Hess,Technology,East,348.33
Carlos Johnson,Furniture,West,5501.11
Carlos Johnson,Office Supplies,West,8807.75
Carlos Johnson,Technology,West,5022.44
Carmen Elmore,Furniture,East,861.3
Carmen Elmore,Office Supplies,East,4591.56
Carmen McPherson,Furniture,Central,3033.88
Carmen McPherson,Office Supplies,Central,566.21
Carmen McPherson,Technology,Central,4235.03
Carol Saunders,Office Supplies,South,646.97
Carol Saunders,Technology,South,1173.75
Carol Sherrill,Furniture,Central,346.52
Carol Sherrill,Office Supplies,Central,704.26
Carol T Pitts,Furniture,Central,215.93
Carol T Pitts,Office Supplies,Central,153.08
Carol T Pitts,Technology,Central,1106.03
Carol Wood,Office Supplies,South,211.83
Carole Cash,Furniture,West,129.12
Carole Creech,Office Supplies,South,2471.39
Carole Miller,Furniture,East,9081.33
Carole Miller,Office Supplies,East,94.67
Carole Rosen,Office Supplies,West,634.57
Carole Rosen,Technology,West,9594.33
Caroline Duffy,Furniture,Central,2256.15
Caroline Duffy,Office Supplies,Central,10.3
Caroline Gibson,Office Supplies,East,117.19
Caroline Ingram,Office Supplies,West,588.55
Caroline Johnston,Furniture,East,9459.94
Caroline Johnston,Office Supplies,East,2786.73
Caroline Johnston,Technology,East,14945.44
Caroline Morton,Furniture,South,21683.82
Caroline Morton,Office Supplies,South,169.75
Caroline Morton,Technology,South,30952.44
Caroline Stone,Office Supplies,Central,267.91
Caroline Stone,Technology,Central,3911.51
Carolyn Blackwell,Office Supplies,East,11.41
Carolyn Bowling,Office Supplies,South,1576.35
Carolyn Bowling,Technology,South,1241.04
Carolyn Fisher,Office Supplies,South,218.5
Carolyn Fisher,Technology,South,6311.19
Carolyn Greer,Furniture,West,1321.81
Carolyn Greer,Office Supplies,West,720.71
